time,x,y,z,vx,vy,vz
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
0.10000000,0.00500000,0.10000000,0.00000000,0.05000000,1.00000000,0.00000000
0.20000000,0.01995012,0.19900249,0.00000000,0.14950125,0.99002494,0.00000000
0.30000000,0.04470125,0.29601993,0.00000000,0.24751121,0.97017431,0.00000000
0.40000000,0.07900647,0.39008454,0.00000000,0.34305223,0.94064614,0.00000000
0.50000000,0.12252360,0.48025804,0.00000000,0.43517129,0.90173497,0.00000000
0.60000000,0.17481855,0.56564093,0.00000000,0.52294948,0.85382893,0.00000000
0.70000000,0.23536967,0.64538152,0.00000000,0.60551122,0.79740589,0.00000000
0.80000000,0.30357296,0.71868439,0.00000000,0.68203295,0.73302868,0.00000000
0.90000000,0.37874810,0.78481833,0.00000000,0.75175136,0.66133947,0.00000000
1.00000000,0.46014520,0.84312367,0.00000000,0.81397100,0.58305335,0.00000000
1.10000000,0.54695232,0.89301879,0.00000000,0.86807123,0.49895124,0.00000000
1.20000000,0.63830356,0.93400600,0.00000000,0.91351240,0.40987206,0.00000000
1.30000000,0.73328768,0.96567644,0.00000000,0.94984122,0.31670438,0.00000000
1.40000000,0.83095722,0.98771419,0.00000000,0.97669531,0.22037755,0.00000000
1.50000000,0.93033790,0.99989944,0.00000000,0.99380681,0.12185244,0.00000000
1.60000000,1.03043840,1.00211062,0.00000000,1.00100503,0.02211185,0.00000000
1.70000000,1.13026021,0.99432569,0.00000000,0.99821816,-0.07784931,0.00000000
1.80000000,1.22880761,0.97662230,0.00000000,0.98547399,-0.17703391,0.00000000
1.90000000,1.32509758,0.94917704,0.00000000,0.96289967,-0.27445260,0.00000000
2.00000000,1.41816962,0.91226368,0.00000000,0.93072036,-0.36913360,0.00000000
2.10000000,1.50709532,0.86625043,0.00000000,0.88925706,-0.46013247,0.00000000
2.20000000,1.59098766,0.81159628,0.00000000,0.83892336,-0.54654149,0.00000000
2.30000000,1.66900979,0.74884641,0.00000000,0.78022135,-0.62749873,0.00000000
2.40000000,1.74038345,0.67862675,0.00000000,0.71373658,-0.70219662,0.00000000
2.50000000,1.80439668,0.60163774,0.00000000,0.64013224,-0.76989006,0.00000000
2.60000000,1.86041093,0.51864736,0.00000000,0.56014255,-0.82990380,0.00000000
2.70000000,1.90786747,0.43048344,0.00000000,0.47456540,-0.88163920,0.00000000
2.80000000,1.94629291,0.33802542,0.00000000,0.38425443,-0.92458019,0.00000000
2.90000000,1.97530396,0.24219558,0.00000000,0.29011050,-0.95829844,0.00000000
3.00000000,1.99461123,0.14394982,0.00000000,0.19307270,-0.98245760,0.00000000
3.10000000,2.00402213,0.04426815,0.00000000,0.09410898,-0.99681668,0.00000000
3.20000000,2.00344278,-0.05585510,0.00000000,-0.00579347,-1.00123246,0.00000000
