time,x,y,z
0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00019999,0.01999867,0.00000000
0.04000000,0.00079989,0.03998933,0.00000000
0.06000000,0.00179946,0.05996401,0.00000000
0.08000000,0.00319829,0.07991469,0.00000000
0.10000000,0.00499583,0.09983342,0.00000000
0.12000000,0.00719136,0.11971221,0.00000000
0.14000000,0.00978400,0.13954311,0.00000000
0.16000000,0.01277272,0.15931821,0.00000000
0.18000000,0.01615631,0.17902957,0.00000000
0.20000000,0.01993342,0.19866933,0.00000000
0.22000000,0.02410255,0.21822962,0.00000000
0.24000000,0.02866203,0.23770263,0.00000000
0.26000000,0.03361002,0.25708055,0.00000000
0.28000000,0.03894456,0.27635565,0.00000000
0.30000000,0.04466351,0.29552021,0.00000000
0.32000000,0.05076458,0.31456656,0.00000000
0.34000000,0.05724533,0.33348709,0.00000000
0.36000000,0.06410318,0.35227423,0.00000000
0.38000000,0.07133536,0.37092047,0.00000000
0.40000000,0.07893901,0.38941834,0.00000000
0.42000000,0.08691106,0.40776045,0.00000000
0.44000000,0.09524834,0.42593947,0.00000000
0.46000000,0.10394750,0.44394811,0.00000000
0.48000000,0.11300508,0.46177918,0.00000000
0.50000000,0.12241744,0.47942554,0.00000000
0.52000000,0.13218082,0.49688014,0.00000000
0.54000000,0.14229132,0.51413599,0.00000000
0.56000000,0.15274489,0.53118620,0.00000000
0.58000000,0.16353735,0.54802394,0.00000000
0.60000000,0.17466439,0.56464247,0.00000000
0.62000000,0.18612154,0.58103516,0.00000000
0.64000000,0.19790424,0.59719544,0.00000000
0.66000000,0.21000777,0.61311685,0.00000000
0.68000000,0.22242728,0.62879302,0.00000000
0.70000000,0.23515781,0.64421769,0.00000000
0.72000000,0.24819427,0.65938467,0.00000000
0.74000000,0.26153144,0.67428791,0.00000000
0.76000000,0.27516399,0.68892145,0.00000000
0.78000000,0.28908646,0.70327942,0.00000000
0.80000000,0.30329329,0.71735609,0.00000000
0.82000000,0.31777879,0.73114583,0.00000000
0.84000000,0.33253717,0.74464312,0.00000000
0.86000000,0.34756253,0.75784256,0.00000000
